Wavelength,mV_136,mV_118,mV_96,mV_93,mV_80,mV_70,mV_64,mV_60,mV_60,mV_50,mV_50,mV_43,mV_40,mV_31,mV_25,mV_25,mV_18,mV_0,mV_-2,mV_-5,mV_-9,mV_-11,mV_-15,mV_-22,mV_-22,mV_-26,mV_-33,mV_-33,mV_-34,mV_-41,mV_-48,mV_-49,mV_-49,mV_-56,mV_-57,mV_-58,mV_-65,mV_-71,mV_-75,mV_-76,mV_-83,mV_-90,mV_-92,mV_-101,mV_-110,mV_-119,mV_-126,mV_-133,mV_-140,mV_-145,mV_-146,mV_-147,mV_-150,mV_-156,mV_-157,mV_-161,mV_-167,mV_-168,mV_-174,mV_-176,mV_-195,mV_-197,mV_-200,mV_-207,mV_-215,mV_-217,mV_-222,mV_-228,mV_-230,mV_-236,mV_-238,mV_-240,mV_-248,mV_-248,mV_-250,mV_-256,mV_-258,mV_-259,mV_-261,mV_-269,mV_-271,mV_-274,mV_-282,mV_-282,mV_-288,mV_-290,mV_-297,mV_-297,mV_-304
0,136,118,96,93,80,70,64,60,60,50,50,43,40,31,25,25,18,0,-2,-5,-9,-11,-15,-22,-22,-26,-33,-33,-34,-41,-48,-49,-49,-56,-57,-58,-65,-71,-75,-76,-83,-90,-92,-101,-110,-119,-126,-133,-140,-145,-146,-147,-150,-156,-157,-161,-167,-168,-174,-176,-195,-197,-200,-207,-215,-217,-222,-228,-230,-236,-238,-240,-248,-248,-250,-256,-258,-259,-261,-269,-271,-274,-282,-282,-288,-290,-297,-297,-304
649.9514771,0.028375858,0.027833303,0.031696841,0.02999215,0.029994924,0.036001384,0.030471373,0.02938813,0.035136081,0.034948181,0.032816377,0.028149901,0.032906756,0.027183799,0.040316757,0.037418887,0.032760464,0.033127494,0.027293853,0.034970038,0.033408582,0.027443944,0.03328713,0.031416133,0.0348293,0.028477756,0.029995117,0.031764094,0.032709606,0.031408843,0.029246781,0.03228239,0.033855882,0.029795734,0.032793764,0.03406873,0.029347857,0.030124696,0.028427757,0.033872787,0.029475305,0.028774327,0.028575392,0.030088823,0.030651955,0.028495032,0.029107638,0.029252013,0.028472256,0.028451277,0.028589603,0.024266845,0.028847076,0.030298499,0.027744057,0.028551036,0.027616125,0.029580344,0.027719721,0.026906462,0.022535119,0.026870385,0.028375471,0.026540328,0.030186212,0.026517462,0.023680843,0.026818782,0.027651904,0.023995465,0.028634643,0.029882409,0.024708467,0.028328994,0.030281736,0.029635102,0.029323818,0.024005041,0.029174628,0.031517241,0.03106161,0.02514434,0.031192983,0.032825395,0.026545007,0.02556783,0.027502874,0.033767376,0.026857443
648.9317627,0.029214883,0.028372377,0.031757075,0.030700238,0.030282347,0.03559573,0.0312149,0.02965029,0.035878897,0.035075542,0.033942867,0.028094472,0.033221431,0.027796075,0.040021226,0.037404921,0.033057097,0.033061873,0.027248042,0.035669182,0.033977829,0.028579872,0.034399182,0.031545859,0.03602948,0.028435331,0.029942282,0.032804988,0.032741956,0.032077074,0.029994896,0.031501599,0.034958731,0.029411064,0.034036309,0.037443604,0.029459042,0.030421006,0.02855441,0.034289751,0.030258978,0.029139608,0.029161617,0.030486813,0.03102527,0.030052427,0.029507276,0.030303136,0.029345283,0.029110488,0.028656321,0.025296105,0.029160621,0.030986877,0.028581945,0.028442627,0.02788779,0.029876474,0.028931072,0.027006775,0.022839881,0.027709456,0.028843507,0.02741215,0.031097703,0.027386619,0.024288004,0.027344521,0.027625781,0.024280312,0.029017601,0.030317154,0.02483286,0.029093077,0.030919215,0.030731827,0.029422782,0.024895221,0.029660406,0.032448828,0.031386387,0.026091479,0.031500235,0.033224028,0.026921252,0.026036972,0.02823006,0.034483951,0.027206618
648.0574951,0.029724378,0.028831584,0.031614672,0.031031499,0.030970085,0.036214527,0.031036614,0.030179968,0.035234831,0.035397466,0.034865681,0.028166693,0.033947542,0.027993217,0.036895528,0.036948007,0.033628233,0.033271007,0.027857758,0.035432909,0.034410361,0.028414989,0.034317989,0.031763565,0.036950514,0.028148161,0.030239578,0.033078771,0.033176277,0.031822499,0.029431535,0.032212853,0.034853365,0.029782344,0.034459822,0.037792958,0.029750574,0.030706016,0.028617473,0.034418516,0.030612512,0.029295433,0.029617256,0.030486841,0.031517189,0.029824458,0.029946553,0.030565599,0.029074393,0.029551331,0.029067917,0.025309,0.030075451,0.031529658,0.028963862,0.02897078,0.028809816,0.031132435,0.029838987,0.027758185,0.023454992,0.027792957,0.029250408,0.02805098,0.030949598,0.027005728,0.024665203,0.027541265,0.028376108,0.024836643,0.03039849,0.030873466,0.025067136,0.029248498,0.03090276,0.030706128,0.029265055,0.024939604,0.029763687,0.032718036,0.032316573,0.026334301,0.03168815,0.033112071,0.026957139,0.026131973,0.028311091,0.034281094,0.027523916
647.0371704,0.030079946,0.02911428,0.032050375,0.031351242,0.031287808,0.036543179,0.031587336,0.030669484,0.035924699,0.035867654,0.035391569,0.02830678,0.034484874,0.028230917,0.035137765,0.037366271,0.033506215,0.033900857,0.027598498,0.034810454,0.034612883,0.029047076,0.033994235,0.03157489,0.037878361,0.028583962,0.031149289,0.033676565,0.034112997,0.032277286,0.030335195,0.032503586,0.035794392,0.031080185,0.035333805,0.036797863,0.030074315,0.031220296,0.029042926,0.034304261,0.030360123,0.030073704,0.029517028,0.030974284,0.032105837,0.029703921,0.030103222,0.030075507,0.029620221,0.028926313,0.029463364,0.026363868,0.029966522,0.030561127,0.02852975,0.029428072,0.029224519,0.030651955,0.029328471,0.027579851,0.023460675,0.027766408,0.029250158,0.027817298,0.030910127,0.026841994,0.024866877,0.026982231,0.028277798,0.024986351,0.029843673,0.029780099,0.025294183,0.028686795,0.031774037,0.031161526,0.030231807,0.025123468,0.030237636,0.03298749,0.031817149,0.025819507,0.033127073,0.032876462,0.026672568,0.026347777,0.029073093,0.034275353,0.027787685
646.0166016,0.030894784,0.029631084,0.032390367,0.031674035,0.03145298,0.037074883,0.032030534,0.031304333,0.035602022,0.036028638,0.037237924,0.028661631,0.034509733,0.02883189,0.034557298,0.037232369,0.034858864,0.035401396,0.028277908,0.036111981,0.035667833,0.029760748,0.034575742,0.032375026,0.038191967,0.029580953,0.030932002,0.034244597,0.034473803,0.032593653,0.030501863,0.032980621,0.036254343,0.030935921,0.03680519,0.036352281,0.030992493,0.032087944,0.029282251,0.035369944,0.031371471,0.03056871,0.030711295,0.031516936,0.03219961,0.030463876,0.031003335,0.030395297,0.030186212,0.029432172,0.030675761,0.026314113,0.030801293,0.031683862,0.030020637,0.029860754,0.029488437,0.031260602,0.028970419,0.028580176,0.024371425,0.028477922,0.029953737,0.028268818,0.03092497,0.028216055,0.025859013,0.028419936,0.029321244,0.0253652,0.030828526,0.030195564,0.025692716,0.029906951,0.030939035,0.031850968,0.030308714,0.025585787,0.03053266,0.032998662,0.033219028,0.026024768,0.033184797,0.03217084,0.027485831,0.027181871,0.029245839,0.034820411,0.028629556
644.9957275,0.031459019,0.030133853,0.033149119,0.032175832,0.031959616,0.036950372,0.032309521,0.032114394,0.035027307,0.035868354,0.036980305,0.02914902,0.03495343,0.02937248,0.034935247,0.037172299,0.034526747,0.03550636,0.028525632,0.035698604,0.035521951,0.030332726,0.035525322,0.032662161,0.038043119,0.030187016,0.031865563,0.034519542,0.03461723,0.033072237,0.031133911,0.032836732,0.036534593,0.031500123,0.037211612,0.035384461,0.030936839,0.032614022,0.030378945,0.034828879,0.031114999,0.030837364,0.030650733,0.032056089,0.032185003,0.031089667,0.031333771,0.030914158,0.030356126,0.029825844,0.031056216,0.026194025,0.030903012,0.030826971,0.029957565,0.030377891,0.030423589,0.031307783,0.029521739,0.028951436,0.024864629,0.029208405,0.030088464,0.028321231,0.031232702,0.028685274,0.026313288,0.028251193,0.02958037,0.026005557,0.030527329,0.030448576,0.026021827,0.029774221,0.031733375,0.031796038,0.031725634,0.026156083,0.0309116,0.032778941,0.032641314,0.026644878,0.033648286,0.032800689,0.027394421,0.027011843,0.029643694,0.035767071,0.028918788
643.9744873,0.031596299,0.030435527,0.033578839,0.032786451,0.032599706,0.03680902,0.032559834,0.032808922,0.036799386,0.03606917,0.037526768,0.030074175,0.035197917,0.030283734,0.034842428,0.03797305,0.034825094,0.035799365,0.029065399,0.037058644,0.034461111,0.030529605,0.03593443,0.033238757,0.037948247,0.029882576,0.032354891,0.034493953,0.034697272,0.03305785,0.031202467,0.03355683,0.036813416,0.032070663,0.037513927,0.036288396,0.031662088,0.033370845,0.030453075,0.035090838,0.031693388,0.031556018,0.030478705,0.032803454,0.032551769,0.031776961,0.031911306,0.031754624,0.03055785,0.030633565,0.031271923,0.027178371,0.031720452,0.031041952,0.030368479,0.030626288,0.031730562,0.032322988,0.030040165,0.029169314,0.025015472,0.029911831,0.031113666,0.029224215,0.030696375,0.028610421,0.026154103,0.028981904,0.029544791,0.026012264,0.031223578,0.030670373,0.026414566,0.03039824,0.031873949,0.032192696,0.03216758,0.026478557,0.030937618,0.032747287,0.033303313,0.027718589,0.033941887,0.033396088,0.027849035,0.027704077,0.029679226,0.03649478,0.029703174
642.9530029,0.032019973,0.0310692,0.034145676,0.033427846,0.032892127,0.03692732,0.033003662,0.033179462,0.036997192,0.035952512,0.036537379,0.03080699,0.035567351,0.031165753,0.035593256,0.037513476,0.034885146,0.036534116,0.029132189,0.037025321,0.035055533,0.031040702,0.037066001,0.033408862,0.037032314,0.030304246,0.032743014,0.034761909,0.035289578,0.034139041,0.031979959,0.034071866,0.037290923,0.03215038,0.038606592,0.036757067,0.032119941,0.033640008,0.030999916,0.035495911,0.032491006,0.032038394,0.030877162,0.032742597,0.033458572,0.032100067,0.031909801,0.031672783,0.031036725,0.031148009,0.031397294,0.027208906,0.03213856,0.032214135,0.031107491,0.031017791,0.031445853,0.032259803,0.030648677,0.029281089,0.025926165,0.029734053,0.031787433,0.028872086,0.031200297,0.029339494,0.02739423,0.028708531,0.029538723,0.026740232,0.031824309,0.030372616,0.026882805,0.030098006,0.032918487,0.03249957,0.032445148,0.026904231,0.031994697,0.033742029,0.033513319,0.027741354,0.034233842,0.034084968,0.028330846,0.027762325,0.030537575,0.037181888,0.031175766
641.9312134,0.032259442,0.031962793,0.034557998,0.033702891,0.033551209,0.037979238,0.033120062,0.033649545,0.037679929,0.03614011,0.036390111,0.031461772,0.036286172,0.03111564,0.036736671,0.038205393,0.03584218,0.036236815,0.02998713,0.037723184,0.034958143,0.030654928,0.037676681,0.034128681,0.037367031,0.031525955,0.032270342,0.03570459,0.035605393,0.033971783,0.032205436,0.034227062,0.03739186,0.033175018,0.038767125,0.037321951,0.032288186,0.033940379,0.031491607,0.035972983,0.032670867,0.032298476,0.03127056,0.032498538,0.033860303,0.032223947,0.032042239,0.032595046,0.031401105,0.031468757,0.032114312,0.028093092,0.032478537,0.032963056,0.031648893,0.03134153,0.031995896,0.032543819,0.030336251,0.030183466,0.026046813,0.030263141,0.032923818,0.029805938,0.031487126,0.029652424,0.027315134,0.029205665,0.030581236,0.0267026,0.031930503,0.031823557,0.026850613,0.030829776,0.03274123,0.033221766,0.032507744,0.027116867,0.031611335,0.034888234,0.03437699,0.028020799,0.034685496,0.034602009,0.029036503,0.028104166,0.030999888,0.038327493,0.031057134
